Item Name,Proteins,Carbohydrates,Fats,Price
Pastry - Cherry Danish - Mini,8.2,14.1,7.1,209
Wine - Piper Heidsieck Brut,49.9,12.9,39.4,232
Nacho Chips,36.4,31,46.9,92
Soup Campbells Split Pea And Ham,28.3,30,7.6,192
"Tray - Foam, Square 4 - S",8.9,32.3,39.6,224
Vegetable - Base,23.9,17.9,7.9,198
Sauce - Chili,46.4,12.3,49.5,86
Limes,44.4,46.3,34.5,141
"Nut - Pecan, Pieces",15.6,29.5,15.3,207
Petit Baguette,12.6,17.8,26.7,217
Tarragon - Fresh,23.2,45.7,29.4,281
Squeeze Bottle,18.5,28.6,21.6,250
Radish - Pickled,43.1,37.6,40.1,224
"Wine - Saint - Bris 2002, Sauv",47,14.3,4.3,245
Roe - Flying Fish,14.6,23.3,25.7,122
Cookies Almond Hazelnut,35.9,46.6,46.3,137
Coffee Beans - Chocolate,9.2,45.3,30.3,289
"Soup - Knorr, Ministrone",12.2,15.8,21.1,287
Wine - Rosso Toscano Igt,30.3,24.4,11.2,236
Soup - Verve - Chipotle Chicken,25.6,27.3,0.3,100
Anchovy In Oil,5.3,44.9,38.7,216
Muffin - Banana Nut Individual,45.2,41.1,25.8,184
Dried Figs,36.9,42.1,46.3,64
Kiwano,49.7,35.2,24.2,203
Hagen Daza - Dk Choocolate,9.8,5.6,20.3,95
Sprouts - Alfalfa,14.6,48.3,27.1,58
Pasta - Agnolotti - Butternut,35,9.5,1.1,151
Cognac - Courvaisier,46.9,7.2,29,170
"Lentils - Red, Dry",23.9,35.4,17,112
"Roe - Lump Fish, Black",2.4,39.3,30.6,176
Bread Bowl Plain,35.3,32.7,8,250
"Juice - Tomato, 10 Oz",42.5,40.3,13,90
Bar Mix - Lime,8.7,28.4,29.8,177
Tea - Vanilla Chai,10.6,37,39.6,109
Hinge W Undercut,24.2,19,12.4,68
Dried Peach,15.5,37.8,44.6,286
Corn Kernels - Frozen,48.4,14.8,4.4,163
"Pasta - Cannelloni, Sheets, Fresh",32.7,17.2,23.3,267
Pancetta,11.8,39.6,17.7,63
Sprouts - Alfalfa,0.4,17,29.7,222
"Soup - Beef Conomme, Dry",49.2,21.2,48.4,261
Soup - Verve - Chipotle Chicken,22.5,36.8,34.2,204
Juice - Orangina,12.7,7.9,7.9,254
"Beef - Ground, Extra Lean, Fresh",43.7,4.3,29.8,87
Wine - Magnotta - Cab Sauv,24.6,18.1,2.5,171
Cod - Black Whole Fillet,36.7,19.7,11,161
Shiro Miso,6.1,18,26.1,187
Wine - Magnotta - Cab Franc,48.2,0.1,25.9,164
Sea Urchin,12.1,40.4,45.5,276
"Ham - Smoked, Bone - In",29.5,16.2,35.1,248
Tobasco Sauce,26.8,41.4,45.3,85
Veal - Knuckle,3.7,5.9,12,239
Lentils - Green Le Puy,40.8,8.3,27,73
Quiche Assorted,20.8,33.6,41.2,194
Bread - Bistro White,17.2,10.2,23,295
Ecolab Silver Fusion,11.3,14.6,36.5,196
Yams,3.4,49.3,9.7,232
Muffin Chocolate Individual Wrap,28.1,44.8,24.3,65
Soup Campbells - Italian Wedding,40.3,44.8,16.9,205
Sea Urchin,20.7,4,2.7,246
Bagel - Whole White Sesame,36.3,14.1,6.6,281
Oil - Shortening - All - Purpose,11.2,4.9,47,185
Beef - Montreal Smoked Brisket,13.5,44.8,0.8,226
"Nut - Pine Nuts, Whole",47.6,27.4,41.8,96
Ginger - Fresh,17.1,39.1,13.5,192
Salmon - Canned,47.6,38.7,5.6,208
Lumpfish Black,38.7,42.1,27.1,258
Oranges,15.7,38.3,34.5,204
Petit Baguette,49.3,47.3,48.2,80
Cornish Hen,28.8,38.5,26.8,271
Pears - Bartlett,42.9,35.1,44.6,205
Icecream - Dstk Strw Chseck,33.8,48,21.3,74
Cookie Trail Mix,21,9.6,24.1,65
Goulash Seasoning,32.5,41.6,46.8,123
Poppy Seed,33.5,14.8,27,195
Bread - Sour Sticks With Onion,22.4,35,47.6,198
Bread Base - Italian,0.8,34.3,46.4,188
Appetizer - Southwestern,21.1,33.1,4.5,176
Chocolate - Chips Compound,15.6,31.2,8,89
Nori Sea Weed - Gold Label,4.4,7,49,101
Soho Lychee Liqueur,13.6,10.2,27.2,128
"Wine - Saint - Bris 2002, Sauv",28,48.3,42.6,121
Wine - Chardonnay South,41,35.6,19.4,140
Mortadella,8.3,29.9,24.3,280
Madeira,45.6,2.5,3.7,246
Chicken - Ground,34.5,26.3,5.4,81
Table Cloth 90x90 Colour,40.3,43.2,29.4,257
Extract - Raspberry,39.4,36.9,22.1,105
Beer - Original Organic Lager,12.1,29.6,44,94
Chutney Sauce - Mango,4.2,34.9,11.4,242
Cactus Pads,24.5,12.6,15.6,215
Beer - Blue,33.5,42.1,44.4,165
Fork - Plastic,40.3,42.9,43,133
Evaporated Milk - Skim,31,37.1,23.7,191
Cheese - Mozzarella,17.2,41.1,25.2,266
Ketchup - Tomato,27.1,32.2,32.1,254
Wine - Magnotta - Belpaese,29.3,41.3,35.2,242
Table Cloth 91x91 Colour,32.3,20.5,13.5,57
Pepper - Gypsy Pepper,38.8,13.1,22.7,99
Pork - European Side Bacon,29.9,32.8,4.6,212
Chinese Foods - Chicken Wing,19.5,43.1,48.4,209
Langers - Cranberry Cocktail,38.5,16.1,24.3,84
"Turkey - Whole, Fresh",22.1,2.2,6.5,245
Bread - Italian Roll With Herbs,48.5,24.3,21.3,97
Potatoes - Fingerling 4 Oz,25.5,37.4,39.4,286
Veal - Loin,14.1,10.2,33.9,246
Quiche Assorted,9.4,3,21.7,55
Apricots - Halves,7.2,32.2,26.4,97
Muffin - Banana Nut Individual,16.3,15.5,30.6,58
Cheese - Cream Cheese,25.7,3.4,42.8,213
Cornstarch,6.9,36.9,18.7,69
Crab - Meat Combo,24,16,38.5,185
Yukon Jack,24.8,4.9,10.5,236
Cake - Lemon Chiffon,9,43.7,5.3,100
Beef - Shank,32.8,28.4,15.7,75
Garlic Powder,30.7,34.8,29.8,74
Wine - Crozes Hermitage E.,7.4,38.7,34.7,201
Curry Paste - Madras,14.8,14.6,32.9,245
"Yogurt - Blueberry, 175 Gr",5.8,14.8,22.9,211
Creme De Cacao Mcguines,48.6,34.5,24.2,50
Goat - Leg,18.4,5.3,10.6,272
"Arctic Char - Fresh, Whole",33.5,0.6,43.9,54
"Pepper - Chillies, Crushed",45,23.5,29.2,74
Muffin Mix - Lemon Cranberry,10.6,32,21.1,115
Pork Ham Prager,16.7,4.3,10.9,103
Lobster - Live,29.2,6.9,2.7,156
Bacardi Raspberry,26.8,26.9,44.9,239
Shiro Miso,22.9,2.5,45.5,185
Chambord Royal,32.9,15.9,34.6,62
Bagelers - Cinn / Brown Sugar,6,14.2,48.6,216
Miso Paste White,27.3,14.6,18.9,253
Versatainer Nc - 8288,43,28.4,5.9,157
Crab Meat Claw Pasteurise,33.8,3.6,1.5,186
Fudge - Cream Fudge,12.1,47.5,16.7,290
"Wine - Red, Pelee Island Merlot",2.6,48.8,2.3,112
V8 - Tropical Blend,22.9,7.4,35.8,59
Calypso - Pineapple Passion,32.8,27.3,40.6,77
Lettuce - Lambs Mash,40.3,21.6,12.6,229
Lychee - Canned,34.2,13.4,9.5,222
Energy Drink Red Bull,12.9,40.4,6.1,165
Versatainer Nc - 888,29.2,27.6,39.2,114
Wine - Alicanca Vinho Verde,16.1,10.7,9.1,89
Sauerkraut,16.5,13.6,23.3,259
Pepper - Roasted Red,8.5,31.3,5.2,261
Vinegar - Tarragon,23.3,6,4.5,288
"Wine - White, Gewurtzraminer",32.9,24.3,40.9,90
Pasta - Cheese / Spinach Bauletti,5.5,5.4,11.7,75
Rice - Sushi,37.9,4.8,43.9,241
"Nut - Walnut, Chopped",8,45,30.8,153
Long Island Ice Tea,44.6,9.6,38.9,175
Nectarines,0.9,16.5,32.4,215
Breakfast Quesadillas,16,5.3,29.3,272
Leeks - Large,13.3,34.6,35.2,138
Gatorade - Orange,37.6,25.2,28.9,86
"Napkin - Dinner, White",46.3,27.8,1.3,241
Beans - Green,23.9,4.2,45.3,133
"Beef - Tongue, Cooked",17.3,15.5,27.6,171
Cheese - La Sauvagine,31.8,34.2,16.7,94
Liqueur - Melon,24,1.1,38.4,221
Bread - Triangle White,16.2,28.9,17.8,197
Cake - Mini Potato Pancake,31.1,16.1,0.8,207
Broom - Push,3.5,29.7,31.3,74
Eggroll,16.1,16.9,40.7,146
Cheese - Provolone,28.8,18.8,8.8,208
"Wine - Red, Concha Y Toro",21.6,41.3,31.4,170
"Pesto - Primerba, Paste",46.1,28.4,12.2,290
"Cheese - Havarti, Salsa",27.2,41,5.5,67
Sugar - Monocystal / Rock,34.8,43.5,29.3,171
"Lemonade - Black Cherry, 591 Ml",35,32.3,41.8,230
Juice - Lemon,19.4,8.6,2.9,158
Longos - Chicken Caeser Salad,2.9,37.7,18.6,99
"Rum - Spiced, Captain Morgan",30.7,38.6,35.5,105
Sprouts - Onion,35.9,41.8,20.8,161
Ice Cream Bar - Drumstick,38.5,31.4,7.7,157
Puree - Guava,39.5,14.2,29.6,270
Cabbage - Savoy,16.5,8.1,31.9,54
Beans - Fine,28.3,3.3,29.1,161
"Beef - Bones, Marrow",22.4,6.9,9.7,126
Crackers - Water,27.5,7.2,1.9,147
Macaroons - Two Bite Choc,29.6,12.4,10.5,172
"Juice - Orange, 341 Ml",36.8,27.1,40.5,106
Bread - Calabrese Baguette,34,40.8,1.5,225
Cheese - Grie Des Champ,27.7,45.4,24.2,138
Goldschalger,19.5,22.4,9.8,170
Magnotta Bel Paese Red,41.6,30.2,23.6,224
"Bread - Multigrain, Loaf",33.4,35.3,41.1,228
"Spoon - Soup, Plastic",16.4,8.1,30,135
Wine - Magnotta - Pinot Gris Sr,14.8,27.5,12.7,259
Pepper - Sorrano,27.7,44.9,24.8,124
Bread - Pain Au Liat X12,29.1,22.1,10.6,229
Sage - Rubbed,35.9,17.8,25,269
Beef - Ground Lean Fresh,3.1,31.1,22,126
"Water - Mineral, Natural",1.2,23.8,14.9,205
Lamb - Sausage Casings,42.2,17.7,3.7,150
Soup - Campbells Chili Veg,40.5,33.1,6.9,136
Food Colouring - Blue,33.9,34,25.5,221
Cheese - Grana Padano,42.9,5.2,5.5,225
Fib N9 - Prague Powder,41.7,40.3,24.4,115
Wine - Touraine Azay - Le - Rideau,37.3,11.3,20.4,74
Quail Eggs - Canned,12.3,32.5,7.9,157
Cheese - St. Paulin,13.4,9.5,36.3,195
Salt - Kosher,29.2,25.9,36.6,79
Cheese Cloth,42.8,47.5,48.4,57
Mustard - Pommery,47,9.5,17.6,192
Lighter - Bbq,6.2,6,2.8,187
Extract - Raspberry,19.4,43.3,44.1,161
Lamb - Ground,1.4,48.2,13.8,195
"Oil - Truffle, Black",20.4,48.7,0.4,169
Butter Ripple - Phillips,31.1,18,43,124
Cream - 10%,21.8,46.6,8.9,99
"Stock - Beef, Brown",39.3,13.6,14.8,85
Venison - Liver,36,42.5,18.2,137
"Soup - Campbells, Butternut",47.5,8.6,47.7,110
Cookie Double Choco,48.1,25.7,44.3,293
Trueblue - Blueberry,23.9,38.6,47,195
Cheese - Gorgonzola,41.1,30.1,37.1,168
Rice - Wild,42.5,27.2,37,106
Pepper - Chili Powder,4.1,9.3,13.1,129
Rice - Wild,27.4,45.9,29,144
Soho Lychee Liqueur,1.6,28,28.8,149
Table Cloth 62x114 Colour,9.8,42.7,14.7,260
Lamb Tenderloin Nz Fr,34.5,19.3,10.9,194
"Beans - Kidney, Canned",34.8,10.5,21.2,88
Snapple Lemon Tea,29.7,9.2,1.8,153
Wine - Pinot Grigio Collavini,19.1,46.8,47.5,218
Sage - Rubbed,8,33.6,8,61
"Coffee - Colombian, Portioned",18,5.2,42.1,171
Lid Tray - 12in Dome,23.3,39.8,31.2,179
Onions - Cooking,38,0.7,33.3,245
Bread - Raisin,25.5,14.2,12.5,178
Muffin - Bran Ind Wrpd,17.3,39.4,46.1,205
"Wine - White, Lindemans Bin 95",43.3,31.2,1.1,248
Jagermeister,35.3,43.9,29,65
Peppercorns - Pink,9.9,3,45.6,238
"Wine - White, Pinot Grigio",37.1,42.1,22.5,160
Goat - Leg,20.1,40.5,10.8,236
"Jam - Blackberry, 20 Ml Jar",43,47.2,35.5,73
Chicken - Whole Fryers,19.2,47.4,33.8,53
Lamb Tenderloin Nz Fr,30.6,15.7,25.7,188
"Trout - Rainbow, Fresh",19.7,8.3,37.1,106
Sesame Seed,22.3,30.4,43.6,83
Cookies - Amaretto,31.7,15.3,31.4,191
Veal - Sweetbread,36.2,49.2,3.1,267
"Beer - Alexander Kieths, Pale Ale",3.1,16.1,39,198
Wine - Bouchard La Vignee Pinot,30.6,8.8,33,136
Mix - Cocktail Ice Cream,26.9,32.7,24.6,262
Cheese - Parmesan Grated,35.3,38.1,0.7,87
Pickles - Gherkins,9.4,38.4,42.7,300
Basil - Seedlings Cookstown,18.9,9.3,26.9,116
Soap - Hand Soap,46.4,37.7,19.5,119
Green Scrubbie Pad H.duty,37.9,35.2,13.4,155
Zucchini - Green,3.9,32.3,0.3,273
Ecolab Crystal Fusion,19.7,3.2,29.6,164
Clam Nectar,5.1,19.4,19.3,126
Absolut Citron,23.6,43.3,23.8,136
Flower - Dish Garden,27.3,40.9,13.3,133
Basil - Pesto Sauce,30.4,22.3,3.7,215
Graham Cracker Mix,32.4,1.6,42,294
Vinegar - Cider,7.2,39.5,37.4,69
Croissants Thaw And Serve,46.4,0.4,3.1,183
Plate Pie Foil,46.3,39.6,16.1,291
Bar Special K,11.1,38.1,40,285
Soup Campbells Split Pea And Ham,6.6,32,10.9,107
"Beef - Tongue, Cooked",4.5,2.4,8.9,271
Sobe - Berry Energy,20.2,8.8,14.2,236
Pickle - Dill,1.4,4.8,22.4,199
Plastic Wrap,49.2,9.1,2,142
Wine - Guy Sage Touraine,21.4,2.7,5.5,107
Bread - Petit Baguette,10.8,18.9,21.5,297
Compound - Passion Fruit,26.8,12.5,6.6,225
Potatoes - Yukon Gold 5 Oz,38.6,16.5,40.1,229
Lobster - Base,27,10.4,7,58
Beer - True North Strong Ale,44.5,49.9,14.7,187
Longos - Chicken Caeser Salad,41.8,4.9,11.6,177
The Pop Shoppe - Black Cherry,9.9,49.9,7.4,193
Straws - Cocktale,45.4,34.4,40.1,55
"Star Anise, Whole",50,16.3,1.9,123
Steampan - Foil,1.3,35.3,7.9,80
Pastry - Apple Muffins - Mini,45.6,33.8,13.7,238
Bread Crumbs - Japanese Style,49.5,3.5,31.5,214
"Yogurt - Banana, 175 Gr",29.7,16.2,37,223
"Soup - Campbells, Butternut",42.5,0.1,49.8,75
Bread Fig And Almond,5.7,26.5,27.8,269
"Salmon - Atlantic, Fresh, Whole",20.8,47.7,3.9,70
Kumquat,26.5,41.2,45.1,65
"Pork - Butt, Boneless",44.4,21.7,12.9,232
Cheese - Augre Des Champs,0.3,7.6,17.1,109
Bread - Petit Baguette,30.3,25.4,39.9,61
Croissants Thaw And Serve,41.8,39.5,46.2,113
"Bread - Crumbs, Bulk",25.1,17.8,43.5,211
"Seedlings - Mix, Organic",31.7,22.3,42.4,57
Cheese - Goat With Herbs,48.9,46.8,41,77
Curry Paste - Madras,30.3,34.7,18.6,134
Cranberry Foccacia,0.2,5.3,1.1,161
Grenadine,13.4,6.9,3.1,143
Bread - Corn Muffaletta,9.2,21.1,43.6,112
Pork - Bones,47.6,43.9,15.2,95
"Olives - Green, Pitted",43.8,6.4,2.3,255
Wine - Vidal Icewine Magnotta,40.9,42.2,10,152
Olives - Stuffed,29.8,18.4,32.4,144
Beans - Fava Fresh,4,33.6,24.4,119
Turnip - Mini,37.3,7.1,16.6,109
Beef - Tenderloin,30.9,47.7,42.2,229
Bols Melon Liqueur,33.7,34.9,29.3,184
Orange Roughy 6/8 Oz,45.9,26.9,23.8,122
Pomello,33.4,32.8,17.1,135
Oysters - Smoked,0.5,22.5,31.5,111
Cheese - Pied De Vents,37.8,18.4,9.4,235
Appetizer - Tarragon Chicken,41.6,49.1,35.9,140
Cheese - Fontina,40.5,1.5,1.8,244
Ham - Black Forest,24.3,26.8,43.2,152
Muffin - Mix - Bran And Maple 15l,32,2.2,6.3,247
Wine - Shiraz South Eastern,42.8,34.6,20.4,300
Flour Dark Rye,41.5,24.4,29.5,199
Cherries - Frozen,45.6,7,43.6,259
Pastry - Lemon Danish - Mini,38.3,36.9,42.2,119
Chicken Giblets,38.2,46.2,47.1,155
Sauce - Fish 25 Ozf Bottle,42.1,15.2,7.1,72
Appetizer - Cheese Bites,31.1,7.4,28.8,109
"Pasta - Penne, Lisce, Dry",23,48,9.7,252
"Coffee - Colombian, Portioned",38,6.8,25.2,69
Cleaner - Comet,21.5,26.8,9.3,52
Wine - Stoneliegh Sauvignon,9.9,38.2,29.4,146
Chips - Assorted,15.1,8.3,7.9,110
Scallops - In Shell,30.2,23.9,33.6,180
Paper - Brown Paper Mini Cups,18.4,29.8,18.8,179
Beans - French,18.3,26.5,8.2,160
Scallops - Live In Shell,19.9,39.7,38.9,201
Wine - Rioja Campo Viejo,23.4,19.1,6.7,177
Pork Salted Bellies,40.4,19.2,46.7,137
Nori Sea Weed,36.4,48.8,0.7,120
Beef - Top Sirloin,9.7,17.5,0.3,187
Wine - Redchard Merritt,44.7,16.5,7.7,105
Wine - Dubouef Macon - Villages,5.2,22.3,42.9,124
Bread - Italian Roll With Herbs,12.2,14.3,14.9,54
Kaffir Lime Leaves,47.7,19.5,16.9,290
Bread - Assorted Rolls,26.4,32.5,46.9,60
Cinnamon Rolls,31.2,3.3,36.2,253
Bread Bowl Plain,38.2,17.8,11.5,123
